index,label,split,seed,dataset,forget_per_class
27777,0,forget,1,Cifar10,500
47651,0,forget,1,Cifar10,500
38321,0,forget,1,Cifar10,500
35373,0,forget,1,Cifar10,500
27460,0,forget,1,Cifar10,500
39329,0,forget,1,Cifar10,500
27104,0,forget,1,Cifar10,500
11689,0,forget,1,Cifar10,500
9296,0,forget,1,Cifar10,500
7979,0,forget,1,Cifar10,500
18659,0,forget,1,Cifar10,500
11762,0,forget,1,Cifar10,500
17221,0,forget,1,Cifar10,500
40876,0,forget,1,Cifar10,500
38368,0,forget,1,Cifar10,500
40652,0,forget,1,Cifar10,500
27323,0,forget,1,Cifar10,500
39149,0,forget,1,Cifar10,500
18765,0,forget,1,Cifar10,500
7663,0,forget,1,Cifar10,500
24365,0,forget,1,Cifar10,500
37035,0,forget,1,Cifar10,500
48289,0,forget,1,Cifar10,500
31098,0,forget,1,Cifar10,500
15516,0,forget,1,Cifar10,500
11218,0,forget,1,Cifar10,500
47089,0,forget,1,Cifar10,500
44906,0,forget,1,Cifar10,500
27911,0,forget,1,Cifar10,500
32233,0,forget,1,Cifar10,500
12010,0,forget,1,Cifar10,500
33249,0,forget,1,Cifar10,500
7731,0,forget,1,Cifar10,500
12030,0,forget,1,Cifar10,500
3515,0,forget,1,Cifar10,500
29980,0,forget,1,Cifar10,500
29364,0,forget,1,Cifar10,500
29880,0,forget,1,Cifar10,500
13419,0,forget,1,Cifar10,500
23522,0,forget,1,Cifar10,500
15115,0,forget,1,Cifar10,500
21932,0,forget,1,Cifar10,500
33781,0,forget,1,Cifar10,500
16596,0,forget,1,Cifar10,500
43944,0,forget,1,Cifar10,500
8096,0,forget,1,Cifar10,500
14334,0,forget,1,Cifar10,500
10847,0,forget,1,Cifar10,500
40022,0,forget,1,Cifar10,500
37324,0,forget,1,Cifar10,500
37738,0,forget,1,Cifar10,500
33087,0,forget,1,Cifar10,500
14441,0,forget,1,Cifar10,500
25191,0,forget,1,Cifar10,500
20124,0,forget,1,Cifar10,500
41457,0,forget,1,Cifar10,500
40867,0,forget,1,Cifar10,500
9859,0,forget,1,Cifar10,500
16238,0,forget,1,Cifar10,500
42105,0,forget,1,Cifar10,500
14023,0,forget,1,Cifar10,500
5988,0,forget,1,Cifar10,500
17762,0,forget,1,Cifar10,500
33202,0,forget,1,Cifar10,500
36606,0,forget,1,Cifar10,500
48209,0,forget,1,Cifar10,500
35546,0,forget,1,Cifar10,500
27286,0,forget,1,Cifar10,500
40873,0,forget,1,Cifar10,500
23602,0,forget,1,Cifar10,500
44468,0,forget,1,Cifar10,500
41238,0,forget,1,Cifar10,500
27703,0,forget,1,Cifar10,500
6312,0,forget,1,Cifar10,500
4967,0,forget,1,Cifar10,500
34547,0,forget,1,Cifar10,500
39574,0,forget,1,Cifar10,500
29623,0,forget,1,Cifar10,500
30378,0,forget,1,Cifar10,500
45845,0,forget,1,Cifar10,500
26723,0,forget,1,Cifar10,500
31435,0,forget,1,Cifar10,500
31896,0,forget,1,Cifar10,500
41146,0,forget,1,Cifar10,500
8759,0,forget,1,Cifar10,500
